,,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Manchester City,19,16,2,1,61,14,+47,50,2.63,48.4,11.3,+37.1,+1.95,19,16,2,1,45,13,+32,50,2.63,38.0,11.5,+26.5,+1.39
2,Manchester Utd,19,15,2,2,38,9,+29,47,2.47,33.4,14.7,+18.8,+0.99,19,10,4,5,30,19,+11,34,1.79,27.3,27.1,+0.2,+0.01
3,Tottenham,19,13,4,2,40,16,+24,43,2.26,35.9,16.1,+19.7,+1.04,19,10,4,5,34,20,+14,34,1.79,31.4,18.9,+12.5,+0.66
4,Liverpool,19,12,7,0,45,10,+35,43,2.26,41.5,11.2,+30.3,+1.60,19,9,5,5,39,28,+11,32,1.68,31.3,22.8,+8.5,+0.45
5,Chelsea,19,11,4,4,30,16,+14,37,1.95,31.0,15.7,+15.2,+0.80,19,10,3,6,32,22,+10,33,1.74,27.0,19.5,+7.4,+0.39
6,Arsenal,19,15,2,2,54,20,+34,47,2.47,44.7,23.1,+21.6,+1.14,19,4,4,11,20,31,-11,16,0.84,23.8,27.5,-3.7,-0.19
7,Burnley,19,7,5,7,16,17,-1,26,1.37,17.6,25.6,-8.0,-0.42,19,7,7,5,20,22,-2,28,1.47,17.0,26.2,-9.2,-0.48
8,Everton,19,10,4,5,28,22,+6,34,1.79,22.5,23.3,-0.8,-0.04,19,3,6,10,16,36,-20,15,0.79,19.0,29.0,-10.0,-0.53
9,Leicester City,19,7,6,6,25,22,+3,27,1.42,25.9,19.9,+5.9,+0.31,19,5,5,9,31,38,-7,20,1.05,22.2,30.0,-7.7,-0.41
10,Newcastle Utd,19,8,4,7,21,17,+4,28,1.47,25.4,21.7,+3.7,+0.19,19,4,4,11,18,30,-12,16,0.84,19.9,31.7,-11.8,-0.62
11,Crystal Palace,19,7,5,7,29,27,+2,26,1.37,35.8,22.9,+12.9,+0.68,19,4,6,9,16,28,-12,18,0.95,20.3,27.7,-7.4,-0.39
12,Bournemouth,19,7,5,7,26,30,-4,26,1.37,25.3,28.4,-3.1,-0.16,19,4,6,9,19,31,-12,18,0.95,19.5,33.0,-13.5,-0.71
13,West Ham,19,7,6,6,24,26,-2,27,1.42,19.6,21.2,-1.6,-0.08,19,3,6,10,24,42,-18,15,0.79,20.2,38.1,-17.8,-0.94
14,Watford,19,7,6,6,27,31,-4,27,1.42,24.0,28.3,-4.2,-0.22,19,4,2,13,17,33,-16,14,0.74,23.3,29.7,-6.3,-0.33
15,Brighton,19,7,8,4,24,25,-1,29,1.53,24.4,22.7,+1.7,+0.09,19,2,5,12,10,29,-19,11,0.58,12.7,29.9,-17.2,-0.90
16,Huddersfield,19,6,5,8,16,25,-9,23,1.21,16.7,24.3,-7.6,-0.40,19,3,5,11,12,33,-21,14,0.74,15.0,30.9,-15.9,-0.84
17,Southampton,19,4,7,8,20,26,-6,19,1.00,24.2,19.9,+4.2,+0.22,19,3,8,8,17,30,-13,17,0.89,18.0,28.9,-10.9,-0.57
18,Swansea City,19,6,3,10,17,24,-7,21,1.11,20.0,25.7,-5.7,-0.30,19,2,6,11,11,32,-21,12,0.63,10.5,33.8,-23.3,-1.23
19,Stoke City,19,5,5,9,20,30,-10,20,1.05,21.0,29.2,-8.3,-0.43,19,2,7,10,15,38,-23,13,0.68,16.5,34.5,-18.0,-0.95
20,West Brom,19,3,9,7,21,29,-8,18,0.95,20.9,21.0,-0.1,0.00,19,3,4,12,10,27,-17,13,0.68,13.4,27.5,-14.1,-0.74
